Country,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Malawi,1986/08,Mealy bug,2,,,,,862,862,,,
Malawi,1986/08,Measles,1,,,,,124,124,,,
Malawi,1987/05,Measles,1,6,,,,6,6,,,
Malawi,1987/06,FIRE,1,5,,,,5,5,,,
Malawi,1995/10,STORM,1,,,,,15,15,,,
Malawi,1995/12,Floods,7,,,,,,,,,
Malawi,1995/12,HAILSTORM,6,1,1,,,123,123,,,
Malawi,1996/01,Floods,4,,,,,7,7,,,
Malawi,1996/02,Floods,2,,,,,115,115,,,
Malawi,1996/03,Floods,3,,,,,1714,1714,,,
Malawi,1996/03,HAILSTORM,1,,,,,7,7,,,
Malawi,1996/10,Floods,1,,,,,1277,1277,,,
Malawi,1996/11,Stormy Rains,1,,,,,26,26,,,
Malawi,1996/12,HAILSTORM,1,,,,,353,353,,,
Malawi,1997/01,Floods,3,,,,,102249,102249,,,
Malawi,1997/01,HAILSTORM,2,,,,,603,603,,,
Malawi,1997/02,Floods,5,,,,,1137,1137,,,
Malawi,1997/02,Heavy winds,1,,,,,266,266,,,
Malawi,1997/03,Floods,8,,,,,5360,5360,,,
Malawi,1997/04,Flash Floods,1,,,,,110,110,,,
Malawi,1997/04,Floods,3,,,,,3482,3482,,,
Malawi,1997/05,Floods,1,,,,,31,31,,,
Malawi,1997/05,HAILSTORM,1,,,,,12,12,,,
Malawi,1997/11,Heavy winds,1,,,,,17,17,,,
Malawi,1997/12,Floods,8,,,,,6406,6406,,,
Malawi,1998/01,Floods,4,,,,,14560,14560,,,
Malawi,1998/01,STORM,1,,,,,28,28,,,
Malawi,1998/02,Floods,7,,,,,3290,3290,,,
Malawi,1998/04,Floods,2,,,,,8545,8545,,,
Malawi,1998/05,Train Accident,1,18,79,,,18,18,,,
Malawi,1998/08,Wild fire,1,,,,,38,38,,,
Malawi,1998/10,FIRE,1,,,,,217,217,,,
Malawi,1998/10,Heavy rains,3,,,,,643,643,,,
Malawi,1998/10,Heavy rainstorm,1,,,,,20,20,,,
Malawi,1998/12,Heavy rainstorm,2,,,,,14,14,,,
