Country,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Madagascar,2014/03,CYCLONES,8,3,,9,437,174,2141,2141,,
Madagascar,2014/03,EPIDEMIC,14,13,,,,,,576,,
Madagascar,2014/03,FIRE,1,,,,262,,1710,1710,,
Madagascar,2014/03,LOCUST,17,,,,,,,,,
Madagascar,2014/04,EPIDEMIC,4,,,,,,,7,,
Madagascar,2014/05,EPIDEMIC,4,12,,,,,,107,,
Madagascar,2014/06,ACCIDENT,1,19,,1,,,,,,
Madagascar,2014/06,EPIDEMIC,3,2,,,,,,49,,
Madagascar,2014/07,ACCIDENT,1,7,34,,,,,34,,
Madagascar,2014/07,EPIDEMIC,1,,,,,,,6,,
Madagascar,2014/08,EPIDEMIC,4,7,,,,,,16,,
Madagascar,2014/09,EPIDEMIC,3,7,,,,,,11,,
Madagascar,2014/10,EPIDEMIC,7,17,,,,,,21,,
Madagascar,2014/11,EPIDEMIC,2,2,,,,,,4,,
Madagascar,2014/12,EPIDEMIC,9,5,,,,,,59,,
Madagascar,2015/02,CYCLONES,60,86,68,9,6086,826,204449,204517,39691,
Madagascar,2015/02,DROUGHT,3,103,,,,,,,,
Madagascar,2015/02,LANDSLIDE,2,14,,,44,,566,,,
Madagascar,2015/03,FLOOD,11,12,,,828,,92593,92593,39319,
Madagascar,2015/04,FIRE,1,,,,13,,65,,,
Madagascar,2016/02,FLOOD,5,6,32,,34,7701,31208,,1817,
Madagascar,2017/03,ACCIDENT,2,,,,29,1165,12126,,9110,
Madagascar,2017/03,CYCLONES,55,81,253,17,40002,68496,429024,,244028,
Madagascar,2017/05,CYCLONES,1,,,1,518,1159,8381,,3191,
Madagascar,2018/06,CYCLONES,16,5,1,,161,1770,31591,,24144,
Madagascar,2018/07,CYCLONES,69,66,29,27,8578,21565,180609,,50122,
Madagascar,2018/09,CYCLONES,2,1,,2,,,,,,
,TOTAL,,2392,2203,3315,898,456183,213471,2925237,2233134,708867,38
